"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Nov-2024","EQ","920.00","933.70","909.00","914.65","920.00","918.45","922.13","1,222.00","598.25","12,38,920","1,14,24,40,469.35","54,649"
"08-Nov-2024","EQ","931.00","934.85","911.90","929.70","915.55","914.65","920.81","1,222.00","598.25","7,17,691","66,08,54,578.60","32,496"
"07-Nov-2024","EQ","945.00","954.00","927.15","945.25","928.20","929.70","940.14","1,222.00","598.25","8,16,992","76,80,89,725.80","32,005"
"06-Nov-2024","EQ","930.00","947.80","924.15","928.65","946.00","945.25","938.29","1,222.00","598.25","10,26,191","96,28,64,047.90","42,232"
"05-Nov-2024","EQ","925.00","930.35","915.80","923.75","928.80","928.65","924.63","1,222.00","598.25","8,34,576","77,16,71,010.50","48,291"
"04-Nov-2024","EQ","934.00","936.40","911.25","930.35","923.10","923.75","921.25","1,222.00","598.25","6,14,860","56,64,40,217.00","40,002"
"01-Nov-2024","EQ","926.90","932.00","925.30","923.05","930.70","930.35","929.55","1,222.00","598.25","1,53,297","14,24,97,267.15","10,511"
"31-Oct-2024","EQ","933.00","939.50","920.00","934.95","923.40","923.05","927.42","1,222.00","598.25","6,34,496","58,84,43,395.30","31,942"
"30-Oct-2024","EQ","937.85","947.45","930.05","934.40","935.00","934.95","939.11","1,222.00","598.25","6,83,462","64,18,48,071.95","32,924"
"29-Oct-2024","EQ","920.10","937.15","915.80","915.40","934.00","934.40","927.27","1,222.00","598.25","10,53,721","97,70,80,426.45","42,188"
"28-Oct-2024","EQ","909.35","923.65","896.65","903.65","915.50","915.40","910.52","1,222.00","598.25","10,60,660","96,57,47,433.00","36,527"
"25-Oct-2024","EQ","910.10","918.00","888.30","912.40","904.00","903.65","899.52","1,222.00","597.35","12,68,810","1,14,13,15,643.10","54,940"
"24-Oct-2024","EQ","906.00","924.00","906.00","909.45","915.00","912.40","913.17","1,222.00","597.35","9,11,588","83,24,37,092.75","41,596"
"23-Oct-2024","EQ","919.85","924.90","895.15","915.50","908.35","909.45","911.75","1,222.00","597.35","10,53,255","96,03,09,807.00","52,279"
"22-Oct-2024","EQ","926.00","933.30","909.25","926.30","915.45","915.50","915.65","1,222.00","597.35","13,97,403","1,27,95,36,247.25","59,724"
"21-Oct-2024","EQ","945.00","952.90","922.10","934.90","922.95","926.30","933.36","1,222.00","597.35","7,67,516","71,63,71,729.65","42,614"
"18-Oct-2024","EQ","930.00","941.95","925.30","933.10","936.00","934.90","934.75","1,222.00","597.35","7,07,640","66,14,67,506.25","34,323"
"17-Oct-2024","EQ","942.95","949.90","931.00","942.95","934.90","933.10","936.79","1,222.00","597.35","7,31,896","68,56,35,166.50","39,998"
"16-Oct-2024","EQ","947.85","955.00","941.25","947.85","943.00","942.95","945.01","1,222.00","597.35","9,76,566","92,28,63,515.90","45,921"
"15-Oct-2024","EQ","963.00","965.00","943.30","959.50","948.00","947.85","950.42","1,222.00","597.35","12,01,370","1,14,18,01,735.00","48,911"
"14-Oct-2024","EQ","958.30","965.95","954.75","948.85","961.60","959.50","960.15","1,222.00","597.35","6,55,775","62,96,44,111.55","30,603"
"11-Oct-2024","EQ","967.45","971.90","947.25","965.15","951.00","948.85","954.64","1,222.00","597.35","9,57,899","91,44,47,701.80","39,491"
"10-Oct-2024","EQ","974.00","979.20","962.05","970.95","965.90","965.15","970.18","1,222.00","597.35","6,00,669","58,27,56,843.20","28,725"
"09-Oct-2024","EQ","971.00","977.25","964.00","964.40","971.00","970.95","971.27","1,222.00","597.35","8,57,896","83,32,48,906.90","39,141"
"08-Oct-2024","EQ","931.00","967.45","923.10","931.00","962.80","964.40","950.38","1,222.00","597.35","30,21,144","2,87,12,45,523.25","85,197"
"07-Oct-2024","EQ","971.00","977.00","924.15","971.15","930.85","931.00","937.02","1,222.00","597.35","34,06,517","3,19,19,65,350.75","1,65,034"
"04-Oct-2024","EQ","973.00","982.80","955.70","967.35","970.00","971.15","971.47","1,222.00","597.35","13,45,161","1,30,67,82,320.45","61,618"
"03-Oct-2024","EQ","990.00","994.85","964.25","1,000.05","968.85","967.35","978.47","1,222.00","597.35","19,63,460","1,92,11,96,265.40","91,164"
"01-Oct-2024","EQ","1,008.35","1,012.40","999.00","1,006.95","1,000.60","1,000.05","1,003.59","1,222.00","597.35","11,46,284","1,15,03,95,674.00","49,130"
"30-Sep-2024","EQ","1,022.00","1,022.00","1,003.10","1,024.25","1,007.90","1,006.95","1,008.40","1,222.00","597.35","14,34,359","1,44,64,14,316.80","58,643"
